income,credit_score,age,loan_amount,approved
20000,555,53,80678,0
203964,704,27,834493,0
34487,691,29,127921,0
41201,729,38,85868,0
50329,600,51,124233,0
77721,831,35,418663,0
64322,798,41,246857,0
68089,669,25,306812,0
20140,608,42,99808,0
29161,581,21,158656,0
57090,721,42,215368,0
30372,722,56,188353,0
55043,567,60,329300,0
31400,601,27,130930,0
39988,731,34,208138,0
23730,562,36,127272,1
87926,834,41,396294,0
37465,622,46,150869,0
80114,760,60,177721,1
37508,708,49,91686,0
74491,606,41,310849,0
37088,655,58,232630,0
87202,671,29,291934,0
123965,692,35,715362,0
26664,712,63,43006,0
103980,694,22,397714,0
20000,679,42,67404,0
20000,751,41,83698,0
30048,655,47,169835,0
51100,600,20,104662,0
20000,749,18,14387,0
30915,728,45,135539,0
110818,752,44,425783,0
67822,689,27,302397,0
20000,568,57,30047,0
60872,699,63,183212,0
58042,665,30,117907,0
168964,592,51,957455,0
49145,734,44,175172,0
20000,693,39,49346,0
26263,739,41,113437,0
64142,674,21,144513,0
20000,750,50,25918,0
44573,720,36,117781,0
41495,719,67,248847,0
20000,613,18,122436,0
20000,828,45,23067,0
25467,648,26,189338,0
269840,561,36,1000000,0
67630,727,26,177757,0
61139,663,32,246881,0
20000,757,35,141691,0
48517,697,44,209796,0
27272,690,45,44409,0
57519,643,30,107751,0
37743,581,39,66175,0
129619,686,56,625392,0
20000,638,42,96835,0
42692,646,53,136111,0
95274,734,52,240525,0
44511,850,38,271471,0
20000,850,28,75473,0
21317,765,52,41529,0
30714,744,39,158965,0
20000,732,36,92061,0
26811,648,38,76817,0
20000,592,25,21506,0
20000,742,68,104593,0
35999,634,35,186680,0
51843,771,40,177422,0
64450,655,25,342354,1
45636,641,24,198262,0
44343,818,46,242706,0
82557,758,29,424876,0
37061,736,50,105671,0
53634,604,55,177348,0
39369,664,35,105647,0
115427,716,43,506717,0
27093,473,41,83901,0
20000,658,58,77556,0
27443,614,30,166033,0
50704,763,18,98836,0
66816,710,39,225715,0
57792,614,41,210068,0
39544,729,36,237612,0
39078,789,42,171184,0
23517,516,26,121676,0
21771,648,35,17106,1
34545,631,41,177132,0
29027,759,44,167680,0
20561,717,57,101933,0
136924,849,18,763832,0
23544,735,31,92538,0
42417,753,46,231083,0
126411,783,46,386482,0
26525,642,49,74153,0
20000,788,48,51873,0
28200,579,30,134039,0
32487,685,40,120078,0
69574,598,40,312296,0
23101,757,30,49501,0
20000,653,51,51766,0
29037,669,18,110940,0
75126,637,28,255843,0
54709,797,48,124149,0
98617,703,28,334065,0
58246,578,50,260331,0
24766,805,29,98951,0
65285,750,43,270525,0
76651,643,29,223525,0
56932,754,31,283069,0
52774,628,44,282685,0
151768,698,32,745388,0
20000,705,21,80949,0
24391,634,55,91386,0
23306,701,18,93910,0
20000,431,46,95944,0
156075,646,37,460988,0
20000,582,50,86763,0
49389,759,23,199323,0
35535,516,50,105069,0
107802,540,18,455472,0
86457,637,40,160382,1
20000,669,24,118193,1
20000,690,26,118587,0
20000,850,40,54545,0
25135,630,19,116302,0
29371,699,45,94271,0
20000,587,41,90132,0
35774,688,38,123946,0
197784,647,22,1000000,0
159298,479,44,744723,0
80650,749,62,267655,0
300000,670,47,1000000,0
34338,742,57,148323,0
51857,578,59,130973,0
50009,632,18,160399,0
289762,596,40,627036,0
64847,624,27,166583,0
25733,654,49,66850,0
20000,582,18,74627,0
20000,693,58,144570,0
129924,636,22,707401,0
20358,567,46,120149,0
62805,669,48,122754,0
28681,681,39,84790,0
25631,672,27,69334,0
41905,850,40,217096,0
141089,592,64,293883,0
47221,672,43,241348,0
20000,738,57,67051,0
21852,705,49,79531,0
22949,661,48,132205,0
20000,612,32,13295,1
20000,588,33,50372,0
36872,755,62,129673,1
76285,631,38,438762,0
58334,703,43,271432,0
32016,648,60,136175,0
20451,850,54,94011,0
30267,715,46,96929,0
56939,543,40,255659,0
41773,649,53,135832,0
52649,850,46,228368,0
20000,611,29,115612,0
36714,813,33,171595,0
31266,622,32,175313,0
175560,682,38,763616,0
49186,619,57,238205,0
20000,720,20,73938,0
51147,850,23,309556,0
67317,586,33,168135,0
84312,626,57,374290,0
118293,629,19,518313,0
20000,684,35,96765,0
110518,692,58,356837,0
20000,663,46,90955,0
100453,603,49,217256,0
78565,701,35,232090,0
20000,514,47,59144,0
52394,668,34,138319,0
26854,601,32,173048,0
241405,677,37,964769,0
35832,692,22,174752,0
20557,755,52,136998,0
23650,576,43,115843,0
31921,692,27,142051,0
41627,706,38,184306,0
20000,682,29,119104,0
33507,709,40,96025,0
106147,625,46,321819,0
59751,786,33,118744,1
44227,636,39,201185,0
41023,753,22,167434,0
43753,683,53,235688,0
34646,668,53,115593,0
71317,615,29,311795,1
34179,739,53,219145,0
20000,653,50,27095,0
68913,850,33,179594,0
20000,516,45,95620,0
23573,850,50,75081,0
58812,650,63,170351,0
41552,696,31,109450,0
21229,727,27,115589,1
75404,850,42,316308,0
155009,623,21,725399,0
27389,765,30,122646,0
41022,743,50,265504,0
39280,711,38,132948,0
178875,700,40,855199,0
24610,729,53,132792,0
20000,719,37,88347,0
37378,668,34,142091,0
20000,674,30,27737,0
56876,727,19,242883,0
34267,676,63,157561,0
29874,672,27,65784,0
49402,638,28,226990,0
52146,850,57,157727,0
34128,733,28,180475,0
44492,779,41,228556,0
34804,649,47,208738,0
54959,717,30,89300,0
20000,731,42,109148,0
24104,691,54,113771,0
48332,664,58,243291,0
54382,528,40,181318,0
63021,687,36,163821,0
60773,573,49,271758,0
25207,647,31,82953,0
44746,664,48,98707,0
36982,750,52,188267,0
58235,663,51,229952,0
27403,716,39,129800,0
20000,747,35,92899,0
268075,665,59,1000000,0
22754,689,39,94452,0
24524,639,50,119981,0
20000,850,38,89827,0
25614,618,31,33530,1
20000,788,31,30291,0
24395,622,44,92131,1
26401,739,55,72205,0
26865,757,41,94782,0
20000,619,39,124332,0
44533,707,38,219254,0
46369,683,39,214892,0
49539,708,69,163999,0
42873,784,63,253077,0
36548,758,34,127694,0
35095,699,30,187569,0
74663,628,45,280237,0
147394,699,43,725817,0
30788,700,31,114007,0
77184,780,57,416972,0
36610,757,44,208073,0
61140,512,44,184136,0
65751,577,36,218713,0
24574,600,51,83306,0
20000,633,20,94083,0
52228,643,38,159073,0
32058,679,24,109106,0
20000,674,32,155798,0
