customer_id,gender,age,annual_income,spending_score
1,Female,46,46891,61
2,Female,27,75720,57
3,Female,47,140000,80
4,Male,42,31945,45
5,Female,18,72664,80
6,Male,21,44433,57
7,Male,47,44097,57
8,Male,22,95575,71
9,Female,52,74666,68
10,Male,38,61497,56
11,Female,18,53315,27
12,Female,37,82844,77
13,Female,61,36442,10
14,Female,18,64912,60
15,Male,37,53003,65
16,Female,48,41758,45
17,Male,44,84009,95
18,Female,63,45838,49
19,Male,53,75403,83
20,Male,46,29597,54
21,Male,29,60169,75
22,Female,51,28656,19
23,Male,22,113567,70
24,Male,26,120065,85
25,Male,24,78411,71
26,Female,39,61117,70
27,Female,27,18097,43
28,Female,48,78595,61
29,Female,29,104643,81
30,Female,19,41607,50
31,Female,42,20127,77
32,Female,18,47179,61
33,Female,39,140000,98
34,Female,52,78492,15
35,Male,35,57461,82
36,Female,30,96642,61
37,Male,18,133104,77
38,Female,38,61400,60
39,Female,18,66556,68
40,Male,30,105739,81
41,Male,31,25843,60
42,Female,26,27369,45
43,Male,41,72764,58
44,Male,27,28194,45
45,Male,41,65112,77
46,Female,42,32389,48
47,Male,45,25742,69
48,Female,27,46612,37
49,Female,25,41909,29
50,Male,33,48543,40
51,Male,55,61827,37
52,Male,36,46209,53
53,Male,28,50696,35
54,Male,46,28913,34
55,Female,28,27718,53
56,Female,65,27696,12
57,Female,45,43993,66
58,Female,22,139202,76
59,Female,37,39605,30
60,Male,18,59680,49
61,Male,41,120991,87
62,Male,26,44496,69
63,Female,44,30066,63
64,Female,40,42045,48
65,Female,43,32131,47
66,Female,43,82166,38
67,Male,40,40120,29
68,Male,18,60036,38
69,Male,42,57250,57
70,Female,50,26980,41
71,Female,34,52707,66
72,Female,42,41357,47
73,Female,66,56084,30
74,Male,18,39241,69
75,Female,18,59871,57
76,Female,32,31310,48
77,Male,44,36224,58
78,Female,27,88949,62
79,Female,35,101871,100
80,Male,31,53991,80
81,Male,40,16506,43
82,Male,33,58578,86
83,Male,35,35474,79
84,Female,41,38124,42
85,Male,49,38713,42
86,Female,51,94290,46
87,Female,56,38114,34
88,Female,44,34715,33
89,Male,28,21142,47
90,Female,34,99969,100
91,Male,34,49900,42
92,Female,59,44071,49
93,Male,31,56468,39
94,Female,45,140000,72
95,Male,42,53130,75
96,Female,19,111216,100
97,Female,18,54655,65
98,Male,35,27066,50
99,Female,23,16757,40
100,Male,18,76399,62
101,Male,48,62037,54
102,Female,48,30861,55
103,Male,54,89402,36
104,Female,51,47064,57
105,Male,30,26917,48
106,Female,28,51948,47
107,Female,18,101023,60
108,Male,48,59524,22
109,Male,18,17429,38
110,Male,29,62793,77
111,Male,32,123739,100
112,Male,23,58786,25
113,Male,54,140000,100
114,Female,32,49219,59
115,Male,36,98744,88
116,Female,39,77185,65
117,Female,59,68606,12
118,Female,51,140000,97
119,Male,18,37796,50
120,Male,33,37484,66
121,Female,29,15000,42
122,Male,41,21922,67
123,Male,20,76245,65
124,Male,18,40516,47
125,Male,40,35573,22
126,Male,42,38022,49
127,Male,54,130844,93
128,Male,47,15000,48
129,Female,37,33348,58
130,Female,40,23508,56
131,Male,70,34735,22
132,Female,18,51200,29
133,Male,44,24114,43
134,Female,54,31359,32
135,Female,47,44773,42
136,Female,31,27302,54
137,Male,34,25412,62
138,Female,21,88978,50
139,Female,18,48962,44
140,Female,59,30822,1
141,Male,66,121726,74
142,Male,40,83467,67
143,Male,18,78420,66
144,Male,18,56967,45
145,Female,18,47368,47
146,Female,30,140000,81
147,Female,54,69176,21
148,Male,47,25762,26
149,Female,45,24021,67
150,Male,48,33986,28
151,Male,70,102482,56
152,Female,20,49963,60
153,Female,27,48982,42
154,Female,28,43233,52
155,Female,46,93863,83
156,Male,42,47931,70
157,Male,41,69397,87
158,Male,18,43334,60
159,Male,44,67573,86
160,Male,26,43983,34
161,Female,48,140000,73
162,Female,54,37124,37
163,Female,38,37310,41
164,Female,34,36106,47
165,Male,34,41824,34
166,Female,41,50424,59
167,Male,18,43782,43
168,Male,43,65681,74
169,Female,45,22632,32
170,Female,25,66418,30
171,Female,39,52644,50
172,Male,24,66296,50
173,Female,18,31853,43
174,Female,37,59411,57
175,Female,37,140000,92
176,Male,70,29787,31
177,Male,18,63121,65
178,Female,36,46162,49
179,Female,33,22924,78
180,Male,30,113625,85
181,Female,61,57225,31
182,Female,51,17664,39
183,Female,30,112760,52
184,Female,52,47360,53
185,Female,45,22933,44
186,Male,37,16698,28
187,Male,33,33002,55
188,Female,53,56636,63
189,Female,57,20027,42
190,Male,19,54877,68
191,Female,18,31551,60
192,Male,23,35066,47
193,Female,26,47638,52
194,Female,42,40455,45
195,Male,20,19331,25
196,Female,24,16938,65
197,Female,36,32566,58
198,Male,18,48580,56
199,Male,44,80835,62
200,Female,45,137062,66
201,Male,30,85273,67
202,Female,63,31545,13
203,Male,50,140000,100
204,Female,50,52546,39
205,Male,46,46463,26
206,Female,50,71515,96
207,Male,47,23140,48
208,Male,42,31811,33
209,Female,44,129519,80
210,Female,36,77234,66
211,Female,63,55763,36
212,Male,24,44199,71
213,Male,39,51475,53
214,Male,44,22646,44
215,Female,55,39915,35
216,Male,42,58395,59
217,Female,36,80592,81
218,Female,54,21844,20
219,Female,32,81072,78
220,Male,43,44876,45
221,Male,47,15753,31
222,Male,67,80001,52
223,Female,27,45137,47
224,Female,30,46899,70
225,Female,48,22852,69
226,Male,38,15000,40
227,Female,39,52757,67
228,Female,27,58376,63
229,Male,26,76193,56
230,Male,41,36287,45
231,Female,34,28244,22
232,Male,31,43426,64
233,Male,70,48786,66
234,Male,38,25182,36
235,Female,24,79847,77
236,Male,33,68332,88
237,Female,34,130502,100
238,Male,44,127857,100
239,Female,32,32711,30
240,Male,56,32482,40
241,Male,38,37771,19
242,Female,33,29369,42
243,Male,62,68786,41
244,Female,44,21626,40
245,Male,28,15000,24
246,Male,26,21561,63
247,Female,35,90873,72
248,Male,44,44379,63
249,Male,55,32910,34
250,Male,39,61484,67
251,Female,40,82740,65
252,Male,53,68256,57
253,Female,50,58818,36
254,Female,25,75282,77
255,Female,18,24768,42
256,Male,38,105490,81
257,Female,39,22722,55
258,Male,66,32374,23
259,Female,32,140000,97
260,Female,21,27198,42
261,Female,28,60422,75
262,Female,60,19723,34
263,Male,53,16818,1
264,Female,61,71547,69
265,Female,35,44704,62
266,Male,44,39786,61
267,Female,39,48353,65
268,Male,31,140000,80
269,Male,40,64067,67
270,Male,46,53382,45
271,Male,33,32865,35
272,Female,40,85058,100
273,Male,18,69213,80
274,Male,18,45583,25
275,Female,31,52806,87
276,Female,31,26709,79
277,Male,36,45102,72
278,Male,51,115312,51
279,Male,48,46330,20
280,Male,47,27772,37
281,Female,47,140000,63
282,Female,37,64459,87
283,Female,41,50793,70
284,Male,36,19149,54
285,Female,46,88144,92
286,Female,56,15000,43
287,Male,21,89005,54
288,Female,40,37558,74
289,Male,28,35318,54
290,Female,53,68816,77
291,Male,18,124566,69
292,Male,29,140000,88
293,Male,59,32051,20
294,Male,41,19079,63
295,Male,59,42103,47
296,Female,30,51044,81
297,Male,29,19271,49
298,Male,51,59781,59
299,Male,30,31452,61
300,Male,55,43468,29
301,Female,30,39192,56
302,Female,50,45133,47
303,Male,33,49628,44
304,Male,48,125835,58
305,Male,27,48711,56
306,Female,38,69044,77
307,Female,26,63559,59
308,Male,57,51564,39
309,Male,20,47150,50
310,Female,42,26858,37
311,Male,25,39768,60
312,Male,33,91792,83
313,Male,57,64271,38
314,Female,21,21358,49
315,Female,38,42183,51
316,Male,39,92820,85
317,Male,70,91742,47
318,Female,25,41702,53
319,Female,36,65348,51
320,Female,42,42990,51
321,Male,47,35543,73
322,Male,34,29852,76
323,Female,67,46835,39
324,Female,62,111482,55
325,Female,25,92040,69
326,Female,33,120014,96
327,Female,38,77751,63
328,Female,48,65661,43
329,Female,22,94020,63
330,Female,70,15000,1
331,Female,50,63451,68
332,Male,27,140000,63
333,Female,36,50177,59
334,Male,32,119360,69
335,Male,27,49126,37
336,Female,45,42250,54
337,Female,44,42104,39
338,Male,37,107759,100
339,Female,62,57913,56
340,Female,47,34728,61
341,Male,41,80984,84
342,Female,41,71170,45
343,Male,31,28717,9
344,Female,50,23604,43
345,Female,55,73130,61
346,Female,32,49315,53
347,Female,31,35944,43
348,Male,56,51890,26
349,Male,64,75334,35
350,Female,24,15000,51
351,Female,54,39589,50
352,Female,46,64304,59
353,Female,59,115292,80
354,Male,26,47336,42
355,Female,65,132760,81
356,Male,40,140000,92
357,Female,24,68236,87
358,Male,29,45065,67
359,Female,46,110485,66
360,Female,53,140000,100
361,Male,18,54094,79
362,Female,35,67389,91
363,Male,23,40510,33
364,Male,54,77332,71
365,Male,62,22008,7
366,Female,53,80085,67
367,Male,46,40810,53
368,Female,18,113996,67
369,Female,18,19429,19
370,Male,33,42576,54
371,Female,48,29250,52
372,Female,47,72499,73
373,Female,18,17819,41
374,Female,19,54034,50
375,Male,41,64394,62
376,Male,41,54382,90
377,Female,47,65237,64
378,Male,45,62687,38
379,Male,34,47199,74
380,Male,32,117413,83
381,Female,31,37824,61
382,Female,30,60262,63
383,Female,18,29462,37
384,Male,42,43114,54
385,Male,34,140000,100
386,Female,36,35894,62
387,Female,56,39001,44
388,Female,23,32690,31
389,Male,60,40648,51
390,Male,32,49298,67
391,Male,37,74294,79
392,Female,28,50340,84
393,Male,36,17997,65
