fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,alcohol,quality
10.07,0.619,0.24,3.5,0.052,10.8,6
7.35,0.662,0.33,1.2,0.012,10.4,5
8.35,0.385,0.35,3.7,0.027,12.2,7
8.8,0.757,0.47,1.2,0.033,9.8,5
4.61,0.45,0.35,5.8,0.06,8.4,7
8.7,0.516,0.41,0.9,0.093,11.3,6
8.74,0.535,0.34,7.3,0.177,9.5,5
9.0,0.358,0.41,2.6,0.047,9.4,7
7.63,0.48,0.23,1.6,0.033,11.2,6
10.42,0.691,0.42,3.6,0.083,10.1,7
8.13,0.348,0.12,5.5,0.147,8.4,5
5.94,0.277,0.68,6.8,0.097,11.8,8
10.83,0.305,0.53,0.9,0.018,8.7,6
5.92,0.619,0.18,0.9,0.11,10.0,4
7.81,0.908,0.2,1.4,0.071,9.0,4
8.62,0.227,0.31,1.1,0.077,12.7,6
8.15,0.472,0.0,2.4,0.105,10.0,3
5.95,0.617,0.19,12.2,0.153,10.2,4
8.35,0.473,0.08,4.4,0.132,10.8,5
11.19,0.461,0.45,2.6,0.08,10.7,8
11.2,0.445,0.25,2.0,0.046,12.2,7
6.26,0.596,0.23,2.2,0.077,11.8,6
7.84,0.541,0.11,7.5,0.012,11.3,8
10.31,0.701,0.49,2.4,0.012,8.7,6
10.24,0.871,0.64,1.4,0.122,9.4,5
7.56,0.618,0.16,1.0,0.04,10.9,7
7.28,0.66,0.54,5.4,0.129,10.3,4
8.53,0.82,0.27,6.6,0.184,10.1,5
7.29,0.279,0.21,1.4,0.086,9.5,4
11.33,0.529,0.19,8.8,0.085,10.9,7
9.46,0.369,0.12,2.3,0.069,11.4,7
7.28,0.642,0.2,0.9,0.095,11.5,4
5.0,0.586,0.37,2.8,0.08,9.8,6
6.68,0.758,0.41,3.5,0.093,11.7,5
5.85,0.497,0.54,6.9,0.012,10.6,6
9.01,0.405,0.67,2.7,0.111,9.9,6
12.93,0.709,0.0,0.9,0.05,8.4,5
7.72,0.693,0.36,1.5,0.086,8.6,6
7.75,0.613,0.46,1.9,0.096,10.6,5
7.6,0.396,0.41,3.4,0.017,10.0,6
11.19,0.451,0.0,5.0,0.132,10.6,4
6.47,0.5,0.4,2.8,0.012,10.4,5
8.24,0.172,0.23,2.7,0.03,11.6,8
7.31,0.275,0.46,0.9,0.097,10.9,6
7.48,0.622,0.11,0.9,0.141,12.2,6
5.81,0.756,0.12,2.0,0.074,11.0,5
6.27,0.469,0.19,3.2,0.104,11.6,6
11.21,0.303,0.26,13.6,0.044,8.4,8
5.67,0.658,0.24,11.6,0.012,9.3,7
9.24,0.301,0.18,3.1,0.029,10.0,6
7.0,0.366,0.19,2.2,0.012,10.7,7
9.63,0.561,0.19,4.6,0.056,12.9,8
7.08,0.454,0.3,1.3,0.143,10.2,4
4.6,0.46,0.0,0.9,0.114,10.7,6
8.11,0.468,0.53,1.9,0.085,10.7,6
11.58,0.698,0.34,3.0,0.058,11.4,4
6.66,0.694,0.39,0.9,0.058,11.9,5
6.41,0.368,0.44,5.3,0.125,9.8,5
7.89,0.349,0.53,0.9,0.083,10.5,5
7.43,0.394,0.54,0.9,0.061,8.4,5
6.94,0.639,0.12,0.9,0.14,8.4,4
9.26,0.341,0.57,2.4,0.162,11.8,6
9.35,0.307,0.28,2.5,0.052,12.4,7
8.01,0.47,0.4,4.7,0.107,9.5,6
7.21,0.393,0.37,1.6,0.085,10.5,5
8.3,0.572,0.04,10.4,0.12,10.8,5
9.86,0.533,0.15,0.9,0.125,11.7,6
7.78,0.668,0.29,3.5,0.08,10.0,6
6.36,0.831,0.54,2.5,0.097,10.4,4
7.81,0.704,0.36,1.6,0.012,10.0,6
6.97,0.508,0.29,4.6,0.142,10.3,5
8.3,0.297,0.5,1.9,0.109,12.3,6
7.56,0.559,0.06,2.5,0.09,11.3,6
9.19,0.673,0.34,3.1,0.042,9.3,6
10.59,0.3,0.31,1.3,0.13,10.9,6
5.79,0.665,0.25,0.9,0.102,11.3,5
7.18,0.51,0.04,2.1,0.015,10.5,6
7.73,0.825,0.33,1.6,0.096,9.4,5
6.88,0.41,0.35,4.0,0.138,9.9,7
8.49,0.96,0.12,0.9,0.094,9.2,4
5.02,0.864,0.3,0.9,0.076,10.3,3
7.92,0.618,0.29,0.9,0.106,9.7,5
5.95,0.433,0.17,2.2,0.092,10.2,7
9.7,0.516,0.04,15.5,0.012,8.9,6
8.77,0.481,0.08,3.5,0.069,11.2,5
7.22,0.335,0.33,4.8,0.016,11.6,8
6.19,0.338,0.22,1.4,0.193,10.9,5
11.89,0.652,0.47,1.9,0.127,10.8,6
7.53,0.289,0.38,6.5,0.039,12.1,8
